id,adult,budget,genres,imdb_id,original_language,overview,popularity,production_companies,production_countries,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,revenue_percentage,directors,year
73,False,20000000.0,['drama'],tt0120586,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",18.157166,"['new line cinema', 'the turman-morrissey company', 'savoy pictures']",['united states of america'],23875127.0,119.0,['english'],Some Legacies Must End.,American History X,8.2,3120.0,1.19375635,['tony kaye'],1998
74,False,132000000.0,"['adventure', 'thriller', 'science fiction']",tt0407304,en,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",19.929377,"['paramount pictures', 'dreamworks skg', 'cruise/wagner productions', 'amblin entertainment']",['united states of america'],591739379.0,116.0,['english'],They're already here.,War of the Worlds,6.2,2397.0,4.482874083333333,['steven spielberg'],2005
75,False,70000000.0,"['comedy', 'fantasy', 'science fiction']",tt0116996,en,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",15.63424,['tim burton productions'],['united states of america'],101371017.0,106.0,"['english', 'français']",Nice planet. We'll take it!,Mars Attacks!,6.1,1544.0,1.4481573857142858,['tim burton'],1996
76,False,2500000.0,"['drama', 'romance']",tt0112471,en,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,"['detour film production', 'warner bros.']","['austria', 'switzerland', 'united states of america']",5535405.0,105.0,"['english', 'deutsch', 'français']",Can the greatest romance of your life last only one night?,Before Sunrise,7.7,984.0,2.214162,['richard linklater'],1995
77,False,9000000.0,"['mystery', 'thriller']",tt0209144,en,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",15.450789,"['summit entertainment', 'newmarket capital group', 'team todd', 'i remember productions']",['united states of america'],39723096.0,113.0,['english'],Some memories are best forgotten.,Memento,8.1,4168.0,4.413677333333333,['christopher nolan'],2000
78,False,28000000.0,"['science fiction', 'drama', 'thriller']",tt0083658,en,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,"['shaw brothers', 'warner bros.', 'the ladd company']","['united states of america', 'hong kong', 'united kingdom']",33139618.0,117.0,"['english', 'deutsch', '广州话 / 廣州話', '日本語', 'magyar']",Man has made his match... now it's his problem.,Blade Runner,7.9,3833.0,1.1835577857142856,['ridley scott'],1982
81,False,1000000.0,"['adventure', 'animation', 'fantasy']",tt0087544,ja,"After a global war, the seaside kingdom known as the Valley Of The Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",11.267366,['topcraft'],['japan'],3301446.0,117.0,['日本語'],,Nausicaä of the Valley of the Wind,7.7,808.0,3.301446,['hayao miyazaki'],1984
82,False,135000000.0,"['action', 'adventure', 'crime', 'thriller']",tt0430357,en,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,11.72545,"['universal pictures', 'forward pass', 'motion picture eta produktionsgesellschaft', 'foqus arte digital', 'metropolis films']","['uruguay', 'united states of america', 'germany', 'paraguay']",163794509.0,134.0,"['english', 'español']",No Law. No Rules. No Order.,Miami Vice,5.7,494.0,1.2132926592592592,['michael mann'],2006
95,False,140000000.0,"['action', 'thriller', 'science fiction', 'adventure']",tt0120591,en,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",13.235112,"['jerry bruckheimer films', 'touchstone pictures', 'valhalla motion pictures']",['united states of america'],553799566.0,151.0,"['english', 'pусский']",The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.5,2540.0,3.9557111857142857,['michael bay'],1998
97,False,17000000.0,"['science fiction', 'action', 'adventure']",tt0084827,en,"As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP.",16.574021,"['walt disney pictures', 'lisberger/kushner']",['united states of america'],33000000.0,96.0,['english'],A world inside the computer where man has never been.  Until now.,Tron,6.6,717.0,1.9411764705882353,['steven lisberger'],1982
98,False,103000000.0,"['action', 'drama', 'adventure']",tt0172495,en,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",23.186667,"['dreamworks skg', 'universal pictures', 'scott free productions', 'red wagon entertainment', 'mill film', 'c & l', 'dawliz']","['united kingdom', 'united states of america']",457640427.0,155.0,['english'],A Hero Will Rise.,Gladiator,7.9,5566.0,4.443110941747573,['ridley scott'],2000
100,False,1350000.0,"['comedy', 'crime']",tt0120735,en,A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,4.60786,"['handmade films ltd.', 'summit entertainment', 'polygram filmed entertainment', 'ska films', 'the steve tisch company']",['united kingdom'],3897569.0,105.0,['english'],A Disgrace to Criminals Everywhere.,"Lock, Stock and Two Smoking Barrels",7.5,1671.0,2.8870881481481483,['guy ritchie'],1998
101,False,16000000.0,"['thriller', 'crime', 'drama']",tt0110413,fr,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,"['columbia pictures', 'gaumont']","['france', 'united states of america']",45284974.0,110.0,['english'],"If you want a job done well, hire a professional.",Leon: The Professional,8.2,4293.0,2.830310875,['luc besson'],1994
104,False,1530000.0,"['action', 'drama', 'thriller']",tt0130827,de,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.",7.765379,"['x-filme creative pool', 'westdeutscher rundfunk (wdr)']",['germany'],7267585.0,81.0,"['deutsch', 'english', '日本語']",Every second of every day you're faced with a decision that can change your life.,Run Lola Run,7.2,672.0,4.750055555555556,['tom tykwer'],1998
111,False,25000000.0,"['action', 'crime', 'drama', 'thriller']",tt0086250,en,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",11.299673,['universal pictures'],['united states of america'],65884703.0,170.0,"['english', 'español']",The world is yours...,Scarface,8.0,3017.0,2.63538812,['brian de palma'],1983
115,False,15000000.0,"['comedy', 'crime']",tt0118715,en,"Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",15.952524,"['gramercy pictures', 'polygram filmed entertainment', 'working title films']","['united kingdom', 'united states of america']",46189568.0,117.0,"['english', 'עִבְרִית', 'español', 'deutsch']",Times like these call for a Big Lebowski.,The Big Lebowski,7.8,3001.0,3.0793045333333335,['joel coen'],1998
117,False,25000000.0,"['crime', 'drama', 'history', 'thriller']",tt0094226,en,"Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",11.062203,['paramount pictures'],['united states of america'],76270454.0,119.0,['english'],What are you prepared to do?,The Untouchables,7.6,1424.0,3.05081816,['brian de palma'],1987
118,False,150000000.0,"['adventure', 'comedy', 'family', 'fantasy']",tt0367594,en,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",22.038405,"['village roadshow pictures', 'the zanuck company', 'warner bros.', 'tim burton productions', 'plan b entertainment', 'theobald film productions']","['australia', 'united kingdom', 'united states of america']",474968763.0,115.0,['english'],Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3759.0,3.16645842,['tim burton'],2005
134,False,26000000.0,"['action', 'adventure', 'comedy']",tt0190590,en,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",12.434175,"['universal pictures', 'mike zoss productions', 'studio canal', 'touchstone pictures', 'working title films']","['france', 'united kingdom', 'united states of america']",71868327.0,106.0,['english'],They have a plan...but not a clue.,"O Brother, Where Art Thou?",7.3,1144.0,2.764166423076923,['joel coen'],2000
137,False,14600000.0,"['romance', 'fantasy', 'drama', 'comedy']",tt0107048,en,"A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",12.989627,['columbia pictures'],['united states of america'],70906973.0,101.0,"['english', 'français', 'italiano']","He's having the worst day of his life... over, and over...",Groundhog Day,7.4,2358.0,4.85664198630137,['harold ramis'],1993
138,False,355000.0,['horror'],tt0021814,en,The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.,7.503126,['universal pictures'],['united states of america'],1012189.0,72.0,"['english', 'deutsch', 'magyar']",The story of the strangest passion the world has ever known!,Dracula,7.2,254.0,2.8512366197183097,['tod browning'],1931
141,False,6000000.0,"['fantasy', 'drama', 'mystery']",tt0246578,en,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",18.303148,"['pandora cinema', 'twentieth century fox film corporation', 'flower films', 'adam fields productions']",['united states of america'],1270522.0,113.0,['english'],You can never go too far,Donnie Darko,7.7,3574.0,0.21175366666666667,['richard kelly'],2001
144,False,2500000.0,"['drama', 'fantasy', 'romance']",tt0093191,de,Wings of Desire is Wim Wender’s artistically beautiful film about the lonely and immortal life of angels during a post-war Berlin. It’s a poetic journey from the perspective of the angels of which one falls in love with a living woman and wants to become a mortal human thus giving up his heavenly life. Filmed in black and white and with a feeling of celebrating life.,6.357321,"['road movies filmproduktion gmbh', 'argos films', 'westdeutscher rundfunk (wdr)']","['germany', 'france']",3200000.0,128.0,"['english', 'français', 'deutsch']",There are angels on the streets of Berlin.,Wings of Desire,7.5,256.0,1.28,['wim wenders'],1987
149,False,8000000.0,"['science fiction', 'animation']",tt0094625,ja,"Childhood friends Tetsuo and Kaneda are pulled into the post-apocalyptic underworld of Neo-Tokyo and forced to fight for their very survival. Kaneda is a bike gang leader, and Tetsuo is a member of a tough motorcycle crew who becomes involved in a covert government project called Akira. But a bloody battle ensues when Kaneda sets out to save his friend.",10.888917,"['bandai visual company', 'toho company', 'mainichi broadcasting system (mbs)', 'kodansha', 'tokyo movie shinsha (tms)', 'tms entertainment', 'akira committee company ltd.', 'sumitomo corporation']",['japan'],553171.0,124.0,['日本語'],Neo-Tokyo is about to E.X.P.L.O.D.E.,Akira,7.8,792.0,0.069146375,['katsuhiro ōtomo'],1988
152,False,35000000.0,"['science fiction', 'adventure', 'mystery']",tt0079945,en,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",8.277765,['paramount pictures'],['united states of america'],139000000.0,132.0,['english'],The human adventure is just beginning.,Star Trek: The Motion Picture,6.2,541.0,3.9714285714285715,['robert wise'],1979
157,False,18000000.0,"['science fiction', 'action', 'adventure', 'thriller']",tt0088170,en,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.,6.197298,['paramount pictures'],['united states of america'],87000000.0,105.0,"['english', 'pусский']",A dying planet. A fight for life.,Star Trek III: The Search for Spock,6.4,443.0,4.833333333333333,['leonard nimoy'],1984
162,False,20000000.0,"['fantasy', 'drama', 'romance']",tt0099487,en,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,17.612244,['twentieth century fox film corporation'],['united states of america'],53000000.0,105.0,['english'],His scars run deep.,Edward Scissorhands,7.5,3731.0,2.65,['tim burton'],1990
163,False,110000000.0,"['thriller', 'crime']",tt0349903,en,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",11.869347,"['village roadshow pictures', 'section eight', 'jerry weintraub productions', 'warner bros.', 'wv films iii']",['united states of america'],362744280.0,125.0,"['français', 'italiano', 'nederlands', '普通话', 'english']",Twelve is the new eleven.,Ocean's Twelve,6.4,2169.0,3.2976752727272727,['steven soderbergh'],2004
164,False,2500000.0,"['comedy', 'drama', 'romance']",tt0054698,en,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.",10.879289,"['paramount pictures', 'jurow-shepherd']",['united states of america'],9500000.0,110.0,"['english', 'português']","Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!",Breakfast at Tiffany's,7.6,1082.0,3.8,['blake edwards'],1961
167,False,48000000.0,"['drama', 'science fiction']",tt0272152,en,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",12.400152,"['intermedia films', 'lawrence gordon productions', 'pathé pictures international', 'imf internationale medien und film gmbh & co. 3. produktions kg']","['germany', 'united kingdom', 'united states of america']",50315140.0,120.0,['english'],Change the way you look at the world.,K-PAX,7.1,710.0,1.0482320833333334,['iain softley'],2001
169,False,35000000.0,"['science fiction', 'action', 'thriller']",tt0100403,en,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",11.736241,"['twentieth century fox film corporation', 'lawrence gordon productions', 'davis entertainment', 'silver pictures']",['united states of america'],57120318.0,108.0,['english'],Silent. Invisible. Invincible. He's in town with a few days to kill.,Predator 2,6.0,743.0,1.6320090857142857,['stephen hopkins'],1990
172,False,30000000.0,"['science fiction', 'action', 'adventure', 'thriller']",tt0098382,en,Capt. Kirk and his crew must deal with Mr. Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God.,12.308007,['paramount pictures'],['united states of america'],70200000.0,107.0,['english'],Adventure and imagination will meet at the final frontier.,Star Trek V: The Final Frontier,5.6,384.0,2.34,['william shatner'],1989
174,False,27000000.0,"['science fiction', 'action', 'adventure', 'thriller']",tt0102975,en,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",5.90057,['paramount pictures'],['united states of america'],96900000.0,113.0,['english'],The battle for peace has begun.,Star Trek VI: The Undiscovered Country,6.7,421.0,3.588888888888889,['nicholas meyer'],1991
177,False,24000000.0,"['comedy', 'drama']",tt0101889,en,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,11.184385,['tristar pictures'],['united states of america'],41895491.0,137.0,['english'],"A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail.",The Fisher King,7.2,346.0,1.7456454583333334,['terry gilliam'],1991
179,False,80000000.0,"['crime', 'thriller']",tt0373926,en,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.",12.047671,"['universal pictures', 'studiocanal', 'mirage enterprises', 'working title films', 'misher films', 'motion picture jota produktions']","['france', 'germany', 'united kingdom', 'united states of america']",162944923.0,128.0,"['english', 'français', 'português']",The truth needs no translation.,The Interpreter,6.2,400.0,2.0368115375,['sydney pollack'],2005
180,False,102000000.0,"['action', 'thriller', 'science fiction', 'mystery']",tt0181689,en,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",20.666063,"['dreamworks skg', 'cruise/wagner productions', 'amblin entertainment', 'twentieth century fox film corporation', 'blue tulip productions', 'ronald shusett/gary goldman', 'digital image associates']",['united states of america'],358372926.0,145.0,"['english', 'svenska']",The system is perfect until it comes after you.,Minority Report,7.1,2663.0,3.5134600588235294,['steven spielberg'],2002
182,False,32000000.0,"['war', 'crime', 'drama', 'mystery', 'romance', 'thriller']",tt0452624,en,An American journalist played by George Clooney arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover played by Cate Blanchett.,5.290831,"['warner bros.', 'section eight productions', 'sunset gower studios']",['united states of america'],5914908.0,108.0,"['english', 'deutsch', '普通话', 'pусский']","If war is Hell, then what comes after?",The Good German,5.9,87.0,0.184840875,['steven soderbergh'],2006
183,False,6000000.0,"['adventure', 'comedy', 'drama', 'family', 'romance']",tt0098663,en,"Corey (Fred Savage) refuses to let his emotionally disturbed younger brother Jimmy (Luke Edwards) be institutionalized, and the two run away together. They soon join forces with a resourceful girl (Jenny Lewis), who notices that Jimmy has a special talent: he is a ""wizard"" at video games and can achieve the high score on absolutely everything he plays. Evading their parents and a sinister bounty hunter, the trio head for a climactic showdown at the national video game championships in California.",5.763954,['universal pictures'],['united states of america'],14278900.0,100.0,"['english', 'italiano']",They're on a cross-country adventure to the world's greatest video championship. It's more than a game...it's the chance of a lifetime.,The Wizard,6.1,83.0,2.3798166666666667,['todd holland'],1989
184,False,12000000.0,"['comedy', 'crime', 'romance']",tt0119396,en,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan—with help from a bail bondsman—to keep the money for herself. Based on Elmore Leonard's novel “Rum Punch”.",16.415498,['miramax films'],['united states of america'],39673162.0,154.0,['english'],Six players on the trail of a half a million in Cash. There's only one question... Who's playing who?,Jackie Brown,7.3,1580.0,3.306096833333333,['quentin tarantino'],1997
186,False,27000000.0,"['drama', 'thriller', 'crime', 'mystery']",tt0425210,en,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns.",11.15092,"['the weinstein company', 'filmengine', 'capitol films', 'ascendant pictures', 'vip medienfonds 4', 'the complex studio']","['germany', 'united states of america']",56308881.0,110.0,['english'],Wrong Time. Wrong Place. Wrong Number.,Lucky Number Slevin,7.4,1356.0,2.0855141111111113,['paul mcguigan'],2006
187,False,40000000.0,"['action', 'thriller', 'crime']",tt0401792,en,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",15.010525,"['dimension films', 'troublemaker studios', 'miramax']",['united states of america'],158733820.0,124.0,['english'],Walk down the right back alley in Sin City and you can find anything...,Sin City,7.2,2755.0,3.9683455,"['robert rodriguez', 'frank miller']",2005
189,False,65000000.0,"['crime', 'thriller']",tt0458481,en,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,20.623642,"['miramax films', 'troublemaker studios', 'ar films', 'aldamisa entertainment', 'demarest films', 'solipsist film', 'residaco']",['united states of america'],39407616.0,102.0,['english'],There is no justice without sin.,Sin City: A Dame to Kill For,6.3,1314.0,0.6062710153846154,"['robert rodriguez', 'frank miller']",2014
