,Description,Director,Runtime (Minutes),Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Success
21,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",Walt Dohrn,92,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",Roland Emmerich,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",Jon Lucas,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.",Justin Kurzel,115,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,John Hamburg,111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",Tom Ford,116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",Bryan Singer,144,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
28,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,Tim Miller,108,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",Paul W.S. Anderson,107,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
30,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,Anthony Russo,147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,169,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,115,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,Antoine Fuqua,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,A sausage strives to discover the truth about his existence.,Greg Tiernan,89,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",Barry Jenkins,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness.",John Lee Hancock,115,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.",Ricardo de Montreuil,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",Rob Marshall,136,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",John Madden,132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",Justin Lin,122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",J.J. Abrams,136,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
42,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",Anna Foerster,91,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,Three generations come together in the week leading up to Mother's Day.,Garry Marshall,118,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,Chad Stahelski,101,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.",Christopher Nolan,152,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",Martin Scorsese,161,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",Fede Alvarez,88,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
48,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,Thea Sharrock,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",Lone Scherfig,117,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",Clint Eastwood,96,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Zack Snyder,151,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,Tate Taylor,112,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Sam Taylor-Johnson,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
54,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,Christopher Nolan,130,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
55,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",Matthew Vaughn,129,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",Peter Berg,133,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",George Miller,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
58,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,Robin Swicord,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.",Peter Berg,107,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",Robert Zemeckis,124,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,J.A. Bayona,108,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",David Frankel,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Byron Howard,108,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",Gore Verbinski,169,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
65,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
66,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,153,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
67,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",Gore Verbinski,151,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
68,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Paul Feig,116,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",Christopher Nolan,148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
70,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Matt Ross,118,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,180,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,149,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
73,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,James Wan,137,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
74,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",Colin Trevorrow,124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
75,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",Ben Affleck,129,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,162,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
77,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Quentin Tarantino,187,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",Gavin O'Connor,128,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,153,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",Duncan Jones,123,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",Todd Phillips,114,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Joss Whedon,141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",Shane Black,116,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,106,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,"Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",Jeremy Gillespie,90,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
87,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,Olivier Assayas,105,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
88,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,151,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
89,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,Brian Helgeland,132,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,115,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
91,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Ridley Scott,144,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
92,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",Guy Ritchie,116,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,102,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,A look at the life of an aging insult comic named Jack Burke.,Taylor Hackford,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",David Yates,110,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,Alex Garland,108,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
97,"In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",Greg McLean,89,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
98,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,134,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,117,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
100,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,130,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
101,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",Nicolas Winding Refn,118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
103,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",Dan Trachtenberg,104,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
104,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",Andrew Stanton,97,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Tim Burton,127,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Neil Burger,139,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
107,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",Jake Szymanski,98,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",Christopher Nolan,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
109,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",Jon Favreau,106,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,"Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.",Michael Bay,165,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",Henry Joost,96,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.,Phyllida Lloyd,108,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
113,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro González Iñárritu,156,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
114,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",Denzel Washington,139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,Rob Marshall,125,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",Jaume Collet-Serra,86,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
117,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,107,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",Justin Lin,130,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
119,"A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.",Derek Cianfrance,140,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Ethan Coen,122,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",Baz Luhrmann,143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
122,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.",Martin Scorsese,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
123,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,J.J. Abrams,127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
124,"The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",Thor Freudenthal,94,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight.",Adam McKay,130,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
